counties,name,start,contained,acres,type,cause,DEST. or DAM,deathFire,deathCivil,
Lassen-Modoc,Dixie,7/2/08,7/4/08,350,"Timber, Brush, Grass",Lightning,0,0,0,
Mendocino,Orr Springs Rd Orr 3,7/3/08,7/3/08,"3,000",Timber,Lightning,0,0,0,
Mendocino,Travis 3 Lightning,7/4/08,7/4/08,750,Timber,Lightning,0,0,0,
Mendocino,Casoose Creek Lightning,7/4/08,7/4/08,550,Timber,Lightning,0,0,0,
Mendocino,Butch Lightning,7/4/08,7/4/08,"2,800",Timber,Lightning,0,0,0,
Mendocino,Albion Lightning,7/4/08,7/8/08,"3,000",Timber,Lightning,0,0,0,
Mendocino,Montgomery Flat Lightning,7/4/08,7/15/08,"3,000",Timber,Lightning,0,0,0,
Mendocino,Burger Ck Lightning,7/4/08,7/12/08,528,Timber,Lightning,0,0,0,
Mendocino,Brushy Lightning,7/4/08,7/15/08,391,Unknown,Lightning,0,0,0,
Mendocino,Orr Series Lightning,7/4/08,7/13/08,"3,000",Timber,Lightning,0,0,0,
Mendocino,Jameson Lightning,7/4/08,7/13/08,925,Unknown,Lightning,0,0,0,
Mendocino,Jack Smith Lightning,7/4/08,7/15/08,"2,000","Brush, Grass",Unidentified,0,0,0,
Mendocino,Low Gap 1 Lightning,7/4/08,7/15/08,"1,700","Brush, Grass",Unidentified,0,0,0,
Mendocino,Lost Pipe Lightning,7/4/08,7/10/08,"1,200",Timber,Lightning,0,0,0,
Mendocino,Horse Lightning,7/4/08,7/8/08,"1,000","Brush, Grass",Unidentified,0,0,0,
Mendocino,Travis 1 Lightning,7/5/08,7/5/08,650,Timber,Lightning,0,0,0,
Mendocino,Alder Creek Beach Rd Man,7/7/08,7/7/08,"1,000",Unknown,Lightning,0,0,0,
Madera-Mariposa-Merced,Dino IC,7/10/08,7/11/08,800,Grass,Unidentified,0,0,0,
Madera-Mariposa-Merced,Hwy 152,7/21/08,7/21/08,700,Grass,Unidentified,0,0,0,
Madera-Mariposa-Merced,Telegraph,7/25/08,9/15/08,"34,091","Timber, Brush, Grass",Miscellaneous,130,0,0,
Butte,Craig,8/3/08,8/11/08,"2,001","Timber, Brush",Unidentified,2,0,0,
San Benito-Monterey,Turkey,8/7/08,8/7/08,400,Grass,Equipment Use,0,0,0,
Butte,Smokey,8/13/08,8/13/08,"1,324",Timber,Lightning,0,0,0,
Butte,Rim,8/13/08,8/13/08,"1,651",Timber,Lightning,0,0,0,
Butte,Empire,8/13/08,8/13/08,"2,000",Timber,Lightning,0,0,0,
Butte,Camp,8/13/08,8/13/08,"47,647",Timber,Lightning,117,0,0,
